Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,death estimate,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users
Philippines,103320224,3580,Middle,10012,12690,12.3,0.3,4.7,0.1,1,93.9
Poland,38224408,12680,High,3026,3698,9.7,46.8,11.2,9,28.7,4.3
Portugal,10371627,19850,High,563,768,7.4,47.6,18.3,5.9,21.8,6.4
Qatar,2569804,75660g,High,178,239,9.3,48.3,2.2,2.8,32,14.6
Republic of Korea,50791920,27600,High,4292,4990,9.8, ,20.5,5.9,39.9,33.7
Republic of Moldova,4059608,2120,Middle,346,394,9.7,17.6,4.3,1.4,18.5,58.1
Romania,19778084,9470,Middle,1913,2044,10.3,46.1,4.4,9,37.2,3.3
Russian Federation,143964512,9720,Middle,20308,25969,18,57.6,5.9,2,29.2,5.3
Rwanda,11917508,700,Low,593,3535,29.7,, , , , 
Saint Lucia,178015,7670,Middle,15,63,35.4,46.7,20,13.3,13.3,6.7
Samoa,195125,4100,Middle,17,22,11.3,41.2,0,5.9,47.1,5.9
San Marino,33203,5181,High,7308,20,15.6,,,,,
Sao Tome and Principe,199910,1730,Middle,23,55,27.5,, ,,, 
Saudi Arabia,32275688,21750,High,9031,9311,28.8,, , , , 
Senegal,15411614,950,Low,604,3609,23.4,, , , , 
Serbia,8820083,5280,Middle,607,649,7.4,46.3,8.7,9.4,23.1,12.5
Seychelles,94228,15410,High,15,15,15.9,46.7,20,6.7,20,6.7
Singapore,5622455,51880,High,141,155,2.8,7.8,44,14.2,33.3,0.7
Slovakia,5444218,16810,High,275,330,6.1,50.2,8.7,7.6,29.1,4.4
Slovenia,2077862,21660,High,130,134,6.4,46.9,19.2,10,16.9,6.9
Solomon Islands,599419,1880,Middle,11,104,17.4,, , , , 
Somalia,14317996,…,Low,165,3884,27.1,, , , , 
South Africa,56015472,5480,Middle,14071,14507,25.9,44.9,0.3,3.2,38.4,13.1
South Sudan,12230730,820g,Low,130,3661,29.9,, , , , 
Spain,46347576,27520,High,1810,1922,4.1,46.5,21.9,3.7,21.5,6.4
Sri Lanka,20798492,3780,Middle,3003,3096,14.9,6.2,50.8,8.1,29.2,5.7
Sudan,39578828,2140,Middle,2311,10178,25.7,, , ,28.6,71.4
Suriname,558368,7070,Middle,74,81,14.5,33.8,45.9,4.1,14.9,1.4
Sweden,9837533,54630,High,270,278,2.8,53.7,16.3,8.1,15.6,6.3
Switzerland,8401739,81240,High,216,223,2.7,34.7,22.7,15.3,23.1,4.2
Syrian Arab Republic,18430452,1840g,Middle,714,4890,26.5,18.8,6.4,5.9,64.7,4.2
Tajikistan,8734951,1110,Middle,427,1577,18.1,57.4h, ,2.3,40.3,0
